,strSubID,strHourAvg,strValueAvg
0,371,3,3
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,1,1
5,18020,0,0
6,364,1,1
7,368,1,1
8,12495,0,0
9,12572,0,0
10,15040,1,1
11,15041,1,1
12,15042,0,0
13,15043,1,1
14,15044,0,0
15,15045,1,1
16,15046,1,1
17,15047,1,1
18,15048,0,0
19,5,0,0
20,363,1,1
21,15049,0,0
22,15050,1,1
23,15058,1,1
24,15059,0,0
25,15060,1,1
26,15061,0,0
27,15062,1,1
28,15063,0,0
29,15064,1,1
30,15065,0,0
31,15066,0,0
32,15067,1,1
33,15068,1,1
34,15069,0,0
35,15070,1,1
36,15071,0,0
37,4,0,0
38,7,0,0
39,12492,1,1
40,12792,1,1
41,15072,0,0
42,15073,0,0
43,15074,1,1
44,15075,0,0
45,15076,0,0
46,15077,0,0
47,15078,1,1
48,15079,0,0
49,15080,0,0
50,15081,2,2
51,15082,1,1
52,15083,1,1
53,1,1,1
54,362,1,1
55,15084,1,1
56,15085,0,0
57,15086,0,0
58,15087,1,1
59,15088,0,0
60,15089,1,1
61,15090,1,1
62,15095,1,1
63,15096,1,1
64,15097,1,1
65,15099,0,0
66,18821,1,1
67,18966,1,1
68,3,1,1
69,366,1,1
70,15100,1,1
71,15101,1,1
72,15102,1,1
73,15103,1,1
74,15104,1,1
75,15105,1,1
76,15106,1,1
77,15107,1,1
78,15108,1,1
79,16503,1,1
80,16504,1,1
81,8,0,0
82,12672,1,1
83,15109,1,1
84,15110,0,0
85,15111,1,1
86,15112,2,2
87,15113,0,0
88,15114,1,1
89,15115,0,0
90,15116,0,0
91,6,1,1
92,365,1,1
93,15166,0,0
94,15167,1,1
95,15169,0,0
96,17700,0,0
97,12110,1,1
98,12111,0,0
99,12112,1,1
100,12113,0,0
101,12114,0,0
102,12117,0,0
103,12153,0,0
104,12154,0,0
105,12155,--,--
106,13271,0,0
107,13272,0,0
108,13275,0,0
109,13276,1,1
110,13277,0,0
111,13278,0,0
112,12115,0,0
113,12116,0,--
114,12152,0,0
115,13273,0,0
116,13274,0,0
117,15098,3,3
118,15146,1,1
119,15147,0,0
120,15148,1,1
121,12578,0,0
122,15140,1,1
123,15141,1,1
124,15142,1,1
125,15143,0,0
126,15144,0,0
127,15145,0,0
128,12574,2,2
129,12575,0,0
130,15149,1,1
131,15150,1,1
132,15151,1,1
133,15152,2,2
134,16500,1,1
135,12576,0,0
136,12577,1,1
137,15154,0,0
138,15155,1,1
139,15156,1,1
140,15157,1,1
141,15160,1,1
142,15161,1,1
143,15162,1,1
144,15163,1,1
145,15164,0,0
146,15165,1,1
147,15055,2,2
148,15056,1,1
149,15057,1,1
150,9930,0,0
151,15117,1,1
152,15118,0,0
153,15119,1,1
154,15120,1,1
155,15121,1,1
156,15122,0,0
157,15129,1,1
158,15130,1,1
159,15131,1,1
160,15132,1,1
161,15133,1,1
162,15134,1,1
163,15135,1,1
164,15136,0,0
165,15137,1,1
166,15138,2,2
167,15139,0,0
